experiment_id,experiment_run,round,client_id,fid
2,4,4,15,0.07730731237152572
2,4,4,18,0.08512011730962316
2,4,4,2,0.04979568214761396
2,4,4,7,0.04899794933060943
2,4,4,23,0.06627122656192608
2,4,4,6,0.07851989551648422
2,4,4,14,0.0701241098501092
2,4,4,16,0.05017023011177391
2,4,4,4,0.0753509980940156
2,4,4,3,0.047026048906192226
2,4,4,12,0.05551156718356382
2,4,4,0,0.06706403974705033
2,4,4,1,0.06124276456537596
2,4,4,11,0.06422640164209337
2,4,4,9,0.0592504081200063
2,4,4,13,0.09483220175414639
2,4,4,20,0.07705968591014015
2,4,4,21,0.04618383915719735
2,4,4,5,0.07939806803811114
2,4,4,19,0.08833296452462898
2,4,4,17,0.05608470217794827
2,4,5,22,0.03389353079757448
2,4,5,8,0.05001289386677242
2,4,5,17,0.04220325773663119
2,4,5,1,0.08435331886832509
2,4,5,9,0.05914427000455914
2,4,5,12,0.07411713216088212
2,4,5,21,0.029727333615334698
2,4,5,3,0.04026608333131948
2,4,5,10,0.04607506701347357
2,4,5,14,0.06001313297028834
2,4,5,20,0.07309831074640741
2,4,5,24,0.035305336897430165
2,4,5,7,0.059029333903758
2,4,5,6,0.07418468067689818
2,4,5,19,0.068427450647366
2,4,5,18,0.06504001135625613
2,4,5,5,0.04720439172475552
2,4,5,4,0.0690029045785954
2,4,5,11,0.0643369300144499
2,4,5,23,0.047549164127193094
2,4,5,13,0.06904596613520562
2,4,5,2,0.07630444411970423
2,4,5,0,0.0499346857219834
2,4,5,15,0.05463896044974692
2,4,5,16,0.04569147175835431
2,4,6,7,0.04303591122627647
2,4,6,2,0.07126818391178877
2,4,6,8,0.04963700233139788
2,4,6,20,0.05122454111792402
2,4,6,4,0.07476495329727822
2,4,6,5,0.06340325772492378
2,4,6,18,0.05288745897493792
2,4,6,22,0.03118755629456362
2,4,6,6,0.08789076271042719
2,4,6,17,0.03908971777038672
2,4,6,11,0.0646398554830912
2,4,6,19,0.12419516779626784
2,4,6,23,0.041947383169160586
2,4,6,13,0.10144564557682192
2,4,6,0,0.055426440382246464
2,4,6,9,0.044376892834638665
2,4,6,1,0.04939245568344765
2,4,6,21,0.029246469720346363
2,4,6,16,0.03735147517944895
2,4,6,15,0.03507048809323208
2,4,6,14,0.0817321140154337
2,4,6,3,0.04681146611781385
2,4,6,10,0.060803549114952456
2,4,6,12,0.04087205123009864
2,4,6,24,0.02666919812786983
2,4,7,5,0.04317474796118848
2,4,7,15,0.03656909607091409
2,4,7,13,0.051555194517172866
2,4,7,0,0.04224909160195364
2,4,7,17,0.03089869203450981
2,4,7,11,0.08095287000059045
2,4,7,16,0.03916451980488915
2,4,7,24,0.02794174409966631
2,4,7,3,0.025207338153139726
2,4,7,9,0.04490441827365667
2,4,7,12,0.03503627557609852
2,4,7,4,0.05796591198849334
2,4,7,23,0.04988720551231121
2,4,7,22,0.030166105452340594
2,4,7,19,0.07712234744501203
2,4,7,18,0.09227504835300335
2,4,7,8,0.037319745053224024
2,4,7,14,0.047689667239333745
2,4,7,10,0.06493023206819437
2,4,7,7,0.02911173702246557
2,4,7,2,0.026810481739178448
2,4,7,21,0.024549048116795626
2,4,7,1,0.04268535697879944
2,4,7,6,0.08871321135187944
2,4,7,20,0.06390443383868671
2,4,8,5,0.08160408435564329
2,4,8,18,0.06374685682122502
2,4,8,24,0.02551236068285254
2,4,8,0,0.058334580694393984
2,4,8,11,0.03336496392923634
2,4,8,14,0.04670249601583751
2,4,8,15,0.03396148645192665
2,4,8,17,0.03639748849890776
2,4,8,12,0.0631743170734069
2,4,8,19,0.053754840418796704
2,4,8,10,0.02546505260972217
2,4,8,20,0.044135533534567756
2,4,8,3,0.029912864369955605
2,4,8,21,0.024115600167832242
2,4,8,8,0.035744197068042646
2,4,8,9,0.04486867891456344
2,4,8,6,0.05846529119869999
2,4,8,4,0.06939410014150003
2,4,8,13,0.03921618810939672
2,4,8,2,0.026345825218102893
2,4,8,22,0.02804062368311505
2,4,8,23,0.1751783336501793
2,4,8,16,0.028310561895322862
2,4,8,1,0.036595064030173236
2,4,8,7,0.022934739817416176
2,4,9,7,0.04009801716895384
2,4,9,8,0.03604268942977622
2,4,9,4,0.05139626562232228
2,4,9,11,0.0522985550256014
2,4,9,16,0.02903959402585357
2,4,9,18,0.0417003836518058
2,4,9,13,0.041448512204048334
2,4,9,17,0.03283881958981971
2,4,9,6,0.06340734122380241
2,4,9,14,0.04281793278763272
2,4,9,10,0.030460919404634513
2,4,9,15,0.06212528594986295
