experiment_id,experiment_run,round,client_id,kl_divergence
2,4,8,5,0.2554890513420105
2,4,8,18,0.20906135439872742
2,4,8,24,0.07920350134372711
2,4,8,0,0.15426823496818542
2,4,8,11,0.08597825467586517
2,4,8,14,0.1491476446390152
2,4,8,15,0.10123617947101593
2,4,8,17,0.12388856709003448
2,4,8,12,0.14052805304527283
2,4,8,19,0.147295743227005
2,4,8,10,0.07097084820270538
2,4,8,20,0.07777158915996552
2,4,8,3,0.07706113904714584
2,4,8,21,0.07928957045078278
2,4,8,8,0.08402886986732483
2,4,8,9,0.12636546790599823
2,4,8,6,0.15267078578472137
2,4,8,4,0.13459394872188568
2,4,8,13,0.08314746618270874
2,4,8,2,0.10529693961143494
2,4,8,22,0.11857254058122635
2,4,8,23,0.7987903356552124
2,4,8,16,0.09242716431617737
2,4,8,1,0.14179213345050812
2,4,8,7,0.07277520000934601
2,4,9,7,0.20482482016086578
2,4,9,8,0.09321444481611252
2,4,9,4,0.14536498486995697
2,4,9,11,0.14519326388835907
2,4,9,16,0.09483652561903
2,4,9,18,0.12716661393642426
2,4,9,13,0.11099940538406372
2,4,9,17,0.10532175749540329
2,4,9,6,0.16955243051052094
2,4,9,14,0.12538772821426392
2,4,9,10,0.06076950579881668
2,4,9,15,0.18258036673069
2,4,9,2,0.2649163603782654
2,4,9,0,0.15997570753097534
2,4,9,20,0.09077589958906174
2,4,9,1,0.12374082952737808
2,4,9,9,0.1404382884502411
2,4,9,23,0.20850273966789246
2,4,9,3,0.09685379266738892
2,4,9,24,0.13863739371299744
2,4,9,22,0.11787769198417664
2,4,9,12,0.08025721460580826
2,4,9,5,0.12364744395017624
2,4,9,21,0.07701749354600906
2,4,9,19,0.13104347884655
2,4,10,11,0.08268533647060394
2,4,10,19,0.18800102174282074
2,4,10,8,0.08576525747776031
2,4,10,20,0.09099826961755753
2,4,10,13,0.08577033877372742
2,4,10,14,0.11915583908557892
2,4,10,18,0.12080003321170807
2,4,10,1,0.13322365283966064
2,4,10,5,0.1237058937549591
2,4,10,17,0.10724223405122757
2,4,10,0,0.06966119259595871
2,4,10,3,0.14347781240940094
2,4,10,6,0.140244260430336
2,4,10,15,0.17219260334968567
2,4,10,2,0.07705510407686234
2,4,10,22,0.09440762549638748
2,4,10,16,0.14098384976387024
2,4,10,12,0.18143831193447113
2,4,10,23,0.27350297570228577
2,4,10,10,0.06993162631988525
2,4,10,21,0.05847088247537613
2,4,10,9,0.18494799733161926
2,4,10,4,0.1597825139760971
2,4,10,7,0.06935728341341019
